Z,LR20,LR40,LR60,LR80,LR100,LR120
60,0,0,0,0,0,0
67.5,-1.58E-06,-7.99E-06,-1.58E-06,-1.58E-06,-1.58E-06,-1.58E-06
75,-1.58E-06,-7.98E-06,-1.58E-06,-1.58E-06,-1.58E-06,-1.58E-06
82.5,-1.58E-06,-7.98E-06,-1.58E-06,-1.58E-06,-1.58E-06,-1.58E-06
90,-1.58E-06,-7.97E-06,-1.58E-06,-1.58E-06,-1.58E-06,-1.58E-06
97.5,-1.58E-06,-7.97E-06,-1.58E-06,-1.58E-06,-1.58E-06,-1.58E-06
105,-1.58E-06,-7.96E-06,-1.58E-06,-1.58E-06,-1.58E-06,-1.58E-06
112.5,-1.58E-06,-7.96E-06,-1.58E-06,-1.58E-06,-1.58E-06,-1.58E-06
120,-1.58E-06,-7.95E-06,-1.58E-06,-1.58E-06,-1.58E-06,-1.58E-06
127.5,-1.56E-06,-7.85E-06,-1.56E-06,-1.56E-06,-1.56E-06,-1.56E-06
135,-1.53E-06,-7.76E-06,-1.53E-06,-1.54E-06,-1.54E-06,-1.54E-06
142.5,-1.49E-06,-7.64E-06,-1.50E-06,-1.50E-06,-1.51E-06,-1.51E-06
150,-1.43E-06,-7.51E-06,-1.45E-06,-1.46E-06,-1.47E-06,-1.47E-06
157.5,-1.36E-06,-7.35E-06,-1.39E-06,-1.40E-06,-1.41E-06,-1.41E-06
165,-1.26E-06,-7.14E-06,-1.30E-06,-1.32E-06,-1.33E-06,-1.34E-06
172.5,-1.14E-06,-6.90E-06,-1.20E-06,-1.22E-06,-1.24E-06,-1.25E-06
180,-9.93E-07,-6.57E-06,-1.08E-06,-1.11E-06,-1.13E-06,-1.15E-06
187.5,-8.37E-07,-6.19E-06,-9.48E-07,-9.83E-07,-1.01E-06,-1.03E-06
195,-6.65E-07,-5.70E-06,-8.02E-07,-8.46E-07,-8.80E-07,-9.07E-07
202.5,-5.03E-07,-5.22E-06,-6.64E-07,-7.16E-07,-7.57E-07,-7.89E-07
210,-3.38E-07,-4.64E-06,-5.25E-07,-5.85E-07,-6.32E-07,-6.70E-07
217.5,-1.85E-07,-4.01E-06,-3.95E-07,-4.63E-07,-5.16E-07,-5.59E-07
225,-2.59E-08,-3.31E-06,-2.61E-07,-3.37E-07,-3.96E-07,-4.44E-07
232.5,1.09E-07,-2.55E-06,-1.47E-07,-2.29E-07,-2.94E-07,-3.46E-07
240,2.28E-07,-1.79E-06,-4.59E-08,-1.35E-07,-2.04E-07,-2.60E-07
247.5,3.36E-07,-9.79E-07,4.55E-08,-4.89E-08,-1.23E-07,-1.82E-07
255,4.26E-07,-1.92E-07,1.22E-07,2.33E-08,-5.44E-08,-1.17E-07
262.5,5.03E-07,6.16E-07,1.87E-07,8.44E-08,3.52E-09,-6.13E-08
270,5.78E-07,1.36E-06,2.51E-07,1.44E-07,6.03E-08,-7.02E-09
277.5,6.46E-07,2.12E-06,3.09E-07,1.98E-07,1.12E-07,4.23E-08
285,7.01E-07,2.78E-06,3.56E-07,2.43E-07,1.54E-07,8.25E-08
292.5,7.70E-07,3.44E-06,4.15E-07,2.98E-07,2.07E-07,1.33E-07
300,8.17E-07,4.04E-06,4.55E-07,3.36E-07,2.42E-07,1.67E-07
307.5,8.74E-07,4.59E-06,5.03E-07,3.82E-07,2.86E-07,2.09E-07
315,9.22E-07,5.09E-06,5.45E-07,4.21E-07,3.23E-07,2.44E-07
322.5,9.70E-07,5.51E-06,5.86E-07,4.60E-07,3.60E-07,2.80E-07
330,1.00E-06,5.87E-06,6.16E-07,4.88E-07,3.87E-07,3.06E-07
337.5,1.05E-06,6.11E-06,6.56E-07,5.26E-07,4.23E-07,3.40E-07
345,1.08E-06,6.31E-06,6.84E-07,5.53E-07,4.49E-07,3.64E-07
352.5,1.12E-06,6.38E-06,7.14E-07,5.81E-07,4.75E-07,3.90E-07
